"ID","creativeF_1_target","creativeF_2_target","trial","word","response"
"dij8d5348uqa","mother","sister","2","grouchy","their sister could let them vent/rant
they could distract them with an activity
they could just have a different sister convo
they could give them advice if warranted
they could take over that person's chores 
"
"ufq43y69ni78","partner","sister","2","devastated","they could ask them what happened
they could help them figure out how to solve the problem
they could try and cheer them up
they could suggest that they see a therapist if the situation necessitates that
they could buy them their favorite food
they could help them with a chore
"
"3s9so34dqf4l","mother","brother","2","confused","Could try to reason with them
Could try to understand what's going on and provide some suggestions
Could sympathize with them, say they've been in a similar situation"
"24iyijegbc9r","sister","partner","2","annoyed","they can talk about the cause of the feeling
they can give them a hug
they can give them a kiss
they can hold their hand
they can just be there and listen
they can do something spontaneous for them
they can entertain them with a dance
they can have sex with them
they can go for a walk with them
"
"3ociync0s5da","sister","father","2","devastated","The father can give them a hug
Father can talk about the situation
Father can take them to their favorite store or place
father can redirect their focus on something else
Can direct them to resources to help them"
"4bl66xtcfhy3","best friend","brother","2","distressed","can relate to them
communicate with parents
distract them with things they know they love"
"qj6muh6hkk0s","best friend","sister","2","blah",""
"7kj5e9zt1l8b","father","partner","2","tense","Their partner can comfort them with a hug.
Their partner can massage their shoulder or back.
Their partner can smile at them.
Their partner can comfort that with kind words.
Their partner can tell them true and meaningful stories.
Their partner can confidently tell them they're not sugarcoating their compliments.
Their partner can tell them why they like them.
Their partner can listen to the person's problems.
Their partner can kiss them.
Their partner can make them good food.
Their partner can go on a nice date with them.
Their partner can make them laugh."
"00qpnwxld6yw","best friend","partner","2","anxious","their partner can let them talk it out
they can try to ease any worries
they can give them gifts to remind them that they care
they can just spend time with them and be there
they can help their partner go over possible outcomes of the situation
they can encourage de-stressing activities
they can participate in anti-anxiety activities with them"
"2qdgh2r6bh2c","brother","partner","2","irritable","Partner can distract the person with memories about past dates.
Partner can apologize to the person, even if there are no good grounds for doing so.
Partner can avoid the person, letting the person calm down over time.
Partner can offer to take the person out for coffee."
"d4z0tfitcpwt","sister","partner","2","anxious","By understanding their deepest desires. 

By making sure they're comfortable discussing the issue. 

By helping them talk through their problems. "
"h1kg7lbo9g4m",NA,NA,"2",NA,NA
"9ebq53ldv3m9","brother","sister","2","annoyed","The sister can distract the person with jokes
The sister can validate the person's concerns
The sister can offer a fun alternative activity as a distraction 
The sister can give the person a hug
The sister can offer a possible solution 
The sister can take the person to the mall
The sister can take the person to a restaurant she likes 
"
"it57sw1z1odk",NA,NA,"2",NA,NA
"d33jxjyowzr1","best friend","mother","2","insecure","their mom could compliment them
read them scripture
give them encouragement
hug them
reassure them
talk to them about their feelings
tell them they are being irrational
give them a self help book
tell them they are perfect the way they are
"
"53mbcx8gch3j","brother","sister","2","gloomy","They can give them a hug.
They can cheer them up.
They can ask them what's wrong.
They can take them to a party.
They can give them life advice.
"
"k3x31t1yr7rr","mother","partner","2","temperamental","by realizing why they are feeling tempermamental



"
"jzycem9mbgiw","partner","mother","2","tearful","Listen with understanding
Don't offer solutions right away
Reassure
Offer condolences
Empathize
Allow them to cry it out
Get mad and tell them to stop crying
Say a joke
Change the subject to something more happy
Bring up sympathizing memories
Talk to them
Give a hug
Make a meal
Make some tea or coffee
Yell at them for being stupid
Inspiring them so they don't feel bad
"
"gy4wy13gaqql","brother","sister","2","gloomy","the sister can talk with them about what is making them feel that way.
the sister can take them to the park.
the sister can introduce them to some friends.
the sister can take them to the ice skating rink.
the sister can buy them ice cream.
the sister can buy them pizza.
the sister can empathize and share a time when she was gloomy and how it can be overcome.
the sister can say encouraging words.
the sister can play a game with them.
the sister can give them a massage.
the sister can give them a hug.
the sister can buy them a gift"
"pn43y86ziwrh","father","partner","2","insecure","Their partner can tell them everything he/she loves about them.
Their partner can point out how their insecurities do not define them.
Their partner can argue against their insecurities, saying they are false.
"
"n9nrit262xbr","father","partner","2","gloomy","Their partner could prepare them their favorite meal.
Their partner can speak to them about why they feel gloomy.
Their partner could take them out for a walk."
"2q6mxrha9fre","father","mother","2","gloomy","The mother can listen and empathize with the situation

The mother can cheer up the daughter by reminding her of positives in her life

The mother can offer to do something fun with daugther

The mother can tell the daughter how much she loves her and how much she is loved

The mother can plan to do something calm and fun, like making a meal

The mother can offer a new perspective on things

"
"czs8v8cyo6n0","sister","mother","2","tired","The mother can take care of them.
The mother can tuck them into bed.
The mother can help them get some rest.
The mother can bring them a cup of tea. 
the mother can get them a cup of coffee.
the mother can encourage them to go for a run.
The mother can give them things to do.
The mother can give them a back rub. 
The mother can pay them a compliment.
"
"tod43cntez1u","brother","sister","2","intense","A nice hug
meditate 
go to the gym
have a nice calming fun chat
go do something nice a relaxed
like go to the beach or something like that"
"zegl63hici0u","best friend","partner","2","tearful","The partner can kiss them and comfort them 
the partner can listen to their pain 
the partner can distract them with a fun movie or date 
"
"fdhr4mpvp90j","mother","brother","2","sad","More or less same as previous answer, but play the role of a friend rather than a protector/guardian. "
"iit0sg0no2on","father","brother","2","gloomy","empathize with their position
give them a story of you in a similar position
tell embarrassing facts about yourself 
tell a joke
 "
"xwsjbx5eqd7o","father","mother","2","stirred-up","Their mother can tell them how much they admire how their kid is very reasonable in the past and has been able to calm down before
Their mother can tell them about an experience where they were in a similar position
They can try and explain the other person's situation"
"fp96wzy4jz4p","partner","brother","2","tired","
Try to make them feel more energized."
"hy7dlv5i3y0x","brother","father","2","grouchy","The father can give their son/daughter some food that they like, to make them feel better
The father can simply be present and listen
The father can try to find a silver lining in the situation making their son/daughter grouchy and tell them about it
The father can let their son/daughter know that they have their father's love, and that their father will be there for them"
"56wy7hpv7zj1","sister","mother","2","blank","The mother might offer some encouraging words about how the person is full of life and important to her."
"mimfoidjh4jx","brother","mother","2","upset","Talk through the issue with them.
Remind them about all the greater evils they faced and overcame in childhood.
Relate it to something she faced and overcame.
Help the person come up with an action plan for resolving the thing that is making them upset."
